id,name,welfare_mean,salary_mean,ft_salary_mean,ft_salary_med,pt_fe_ratio,oa_num,oa_ratio
2881,富邦金,1223.00 ,1033.00 ,1436.00 ,1136.00 ,0.56 ,50,0.00 
2882,國泰金,1160.00 ,1014.00 ,1320.00 ,1088.00 ,0.53 ,75,0.00 
2883,開發金,1933.00 ,1658.00 ,1468.00 ,1143.00 ,0.61 ,0,0.01 
2884,玉山金,1454.00 ,1234.00 ,1168.00 ,1069.00 ,0.43 ,20,0.00 
2885,元大金,2310.00 ,2043.00 ,1612.00 ,1346.00 ,0.53 ,24,0.00 
2886,兆豐金,2091.00 ,1539.00 ,1450.00 ,1173.00 ,0.52 ,56,0.01 
2887,台新金,1564.00 ,1333.00 ,1300.00 ,1034.00 ,0.48 ,1,0.00 
2888,新光金,1247.00 ,1083.00 ,1198.00 ,1017.00 ,0.55 ,12,0.00 
2889,國票金,2072.00 ,1846.00 ,1417.00 ,1010.00 ,0.11 ,0,0.00 
2890,永豐金,1704.00 ,1451.00 ,1363.00 ,1116.00 ,0.39 ,28,0.00 
2891,中信金,2102.00 ,1902.00 ,1557.00 ,1259.00 ,0.56 ,25,0.00 
2892,第一金,1751.00 ,1496.00 ,1294.00 ,1180.00 ,0.51 ,8,0.00 
2897,王道銀行,1738.00 ,1545.00 ,1251.00 ,1023.00 ,0.46 ,7,0.01 
2901,欣欣,853.00 ,689.00 ,568.00 ,518.00 ,0.44 ,0,0.00 
2903,遠百,853.00 ,771.00 ,700.00 ,653.00 ,0.25 ,0,0.00 
2904,匯僑,1049.00 ,875.00 ,671.00 ,655.00 ,0.20 ,0,0.00 
2905,三商,2850.00 ,2676.00 ,874.00 ,742.00 ,0.48 ,2,0.00 
2906,高林,914.00 ,766.00 ,564.00 ,507.00 ,0.52 ,0,0.00 
2908,特力,1165.00 ,916.00 ,926.00 ,795.00 ,0.67 ,2,0.00 
2910,統領,725.00 ,600.00 ,560.00 ,514.00 ,0.04 ,0,0.00 
2911,麗嬰房,577.00 ,470.00 ,477.00 ,434.00 ,0.46 ,0,0.00 
2912,統一超,811.00 ,681.00 ,933.00 ,807.00 ,0.50 ,22,0.00 
2913,農林,808.00 ,647.00 ,583.00 ,471.00 ,0.43 ,5,0.01 
2915,潤泰全,755.00 ,642.00 ,540.00 ,420.00 ,0.41 ,0,0.00 
2923,鼎固-KY,N/A,N/A,N/A,N/A,0.40 ,0,0.00 
2929,淘帝-KY,N/A,N/A,N/A,N/A,0.22 ,0,0.00 
2939,凱羿-KY,N/A,N/A,N/A,N/A,0.38 ,0,0.00 
2945,三商家購,442.00 ,356.00 ,413.00 ,346.00 ,0.57 ,42,0.01 
3002,歐格,1138.00 ,997.00 ,897.00 ,875.00 ,0.56 ,0,0.00 
3003,健和興,817.00 ,687.00 ,584.00 ,521.00 ,0.17 ,2,0.00 
3004,豐達科,936.00 ,799.00 ,690.00 ,619.00 ,0.19 ,2,0.00 
3005,神基,1718.00 ,1578.00 ,1488.00 ,1242.00 ,0.22 ,15,0.00 
3006,晶豪科,4825.00 ,4605.00 ,4509.00 ,4333.00 ,0.04 ,0,0.00 
3008,大立光,1228.00 ,1094.00 ,1146.00 ,842.00 ,0.10 ,32,0.00 
3010,華立,2092.00 ,1840.00 ,1431.00 ,1155.00 ,0.11 ,1,0.00 
3011,今皓,967.00 ,830.00 ,670.00 ,540.00 ,0.13 ,0,0.00 
3013,晟銘電,1196.00 ,985.00 ,877.00 ,840.00 ,0.37 ,29,0.01 
3014,聯陽,3183.00 ,2957.00 ,2849.00 ,2698.00 ,0.13 ,0,0.00 
3015,全漢,1174.00 ,1023.00 ,984.00 ,845.00 ,0.27 ,3,0.00 
3016,嘉晶,1067.00 ,888.00 ,951.00 ,851.00 ,0.27 ,3,0.00 
3017,奇鋐,1344.00 ,1131.00 ,969.00 ,869.00 ,0.21 ,16,0.00 
3018,隆銘綠能,911.00 ,762.00 ,605.00 ,570.00 ,0.40 ,0,0.00 
3019,亞光,1254.00 ,1105.00 ,954.00 ,783.00 ,0.13 ,0,0.00 
3021,鴻名,761.00 ,618.00 ,693.00 ,561.00 ,0.50 ,0,0.00 
3022,威強電,1243.00 ,1089.00 ,843.00 ,795.00 ,0.26 ,0,0.00 
3023,信邦,813.00 ,679.00 ,677.00 ,498.00 ,0.47 ,14,0.01 
3024,憶聲,1242.00 ,1056.00 ,867.00 ,822.00 ,0.41 ,0,0.00 
3025,星通,1169.00 ,1002.00 ,1007.00 ,844.00 ,0.45 ,0,0.00 
3026,禾伸堂,1100.00 ,963.00 ,869.00 ,646.00 ,0.47 ,20,0.02 
3027,盛達,991.00 ,793.00 ,788.00 ,716.00 ,0.30 ,0,0.00 
3028,增你強,1273.00 ,1100.00 ,1048.00 ,923.00 ,0.32 ,3,0.00 
3029,零壹,1466.00 ,1273.00 ,1050.00 ,849.00 ,0.52 ,0,0.00 
3030,德律,1348.00 ,1166.00 ,1168.00 ,1019.00 ,0.11 ,5,0.01 
3031,佰鴻,1374.00 ,1227.00 ,849.00 ,761.00 ,0.34 ,1,0.01 
3032,偉訓,1649.00 ,1455.00 ,970.00 ,881.00 ,0.02 ,0,0.00 
3033,威健,1762.00 ,1557.00 ,1350.00 ,1191.00 ,0.10 ,1,0.00 
3034,聯詠,5412.00 ,5162.00 ,4994.00 ,4018.00 ,0.08 ,0,0.00 
3035,智原,2432.00 ,2202.00 ,2073.00 ,1633.00 ,0.18 ,0,0.00 
3036,文曄,1885.00 ,1684.00 ,1373.00 ,1088.00 ,0.26 ,0,0.00 
3037,欣興,1068.00 ,921.00 ,866.00 ,689.00 ,0.19 ,56,0.00 
3038,全台,730.00 ,630.00 ,621.00 ,535.00 ,0.16 ,3,0.00 
3040,遠見,1157.00 ,1001.00 ,815.00 ,828.00 ,0.50 ,0,0.00 
3041,揚智,2409.00 ,2172.00 ,1818.00 ,1564.00 ,0.15 ,0,0.00 
3042,晶技,1144.00 ,1049.00 ,1036.00 ,782.00 ,0.15 ,10,0.01 
3043,科風,700.00 ,590.00 ,440.00 ,398.00 ,0.16 ,0,0.00 
3044,健鼎,1103.00 ,972.00 ,666.00 ,465.00 ,0.16 ,0,0.00 
3045,台灣大,1274.00 ,1094.00 ,1072.00 ,923.00 ,0.48 ,5,0.00 
3046,建碁,1294.00 ,1142.00 ,1111.00 ,1090.00 ,0.21 ,0,0.00 
3047,訊舟,1280.00 ,1091.00 ,999.00 ,888.00 ,0.20 ,0,0.00 
3048,益登,1644.00 ,1465.00 ,1345.00 ,1111.00 ,0.50 ,0,0.00 
3049,精金,1277.00 ,1053.00 ,942.00 ,824.00 ,0.22 ,0,0.00 
3050,鈺德,790.00 ,658.00 ,629.00 ,579.00 ,0.38 ,0,0.00 
3051,力特,750.00 ,620.00 ,576.00 ,526.00 ,0.03 ,10,0.02 
3052,夆典,972.00 ,827.00 ,668.00 ,626.00 ,0.13 ,0,0.00 
3054,立萬利,1175.00 ,1003.00 ,947.00 ,824.00 ,0.33 ,0,0.00 
3055,蔚華科,2488.00 ,2126.00 ,1288.00 ,1155.00 ,0.06 ,0,0.00 
3056,富華新,1471.00 ,1309.00 ,1529.00 ,895.00 ,0.57 ,0,0.00 
3057,喬鼎,1406.00 ,1208.00 ,1181.00 ,1004.00 ,0.20 ,0,0.00 
3058,立德,1294.00 ,1098.00 ,873.00 ,688.00 ,0.13 ,0,0.00 
3059,華晶科,2063.00 ,1861.00 ,1261.00 ,1198.00 ,0.19 ,1,0.00 
3060,銘異,919.00 ,771.00 ,640.00 ,557.00 ,0.22 ,0,0.00 
3062,建漢,1303.00 ,1124.00 ,1047.00 ,952.00 ,0.04 ,0,0.00 
3090,日電貿,1002.00 ,836.00 ,864.00 ,717.00 ,0.56 ,1,0.01 
3092,鴻碩,1850.00 ,1637.00 ,986.00 ,713.00 ,0.26 ,382,0.17 
3094,聯傑,1460.00 ,1250.00 ,1143.00 ,1134.00 ,0.17 ,0,0.00 
3130,一零四,1393.00 ,1224.00 ,1188.00 ,1026.00 ,0.56 ,0,0.00 
3138,耀登,1656.00 ,1473.00 ,1228.00 ,946.00 ,0.36 ,0,0.00 
3149,正達,829.00 ,710.00 ,663.00 ,583.00 ,0.00 ,0,0.00 
3164,景岳,742.00 ,609.00 ,584.00 ,553.00 ,0.10 ,0,0.00 
3167,大量,1072.00 ,582.00 ,804.00 ,691.00 ,0.15 ,2,0.01 
3189,景碩,903.00 ,783.00 ,750.00 ,582.00 ,0.19 ,30,0.01 
3209,全科,1524.00 ,1314.00 ,1086.00 ,981.00 ,0.08 ,0,0.00 
3229,晟鈦,637.00 ,529.00 ,549.00 ,486.00 ,0.67 ,0,0.00 
3231,緯創,1592.00 ,1406.00 ,1292.00 ,1101.00 ,0.22 ,16,0.00 
3257,虹冠電,2221.00 ,2023.00 ,1303.00 ,1196.00 ,0.15 ,0,0.00 
3266,昇陽,1288.00 ,1112.00 ,1019.00 ,1024.00 ,0.20 ,0,0.00 
3296,勝德,930.00 ,779.00 ,722.00 ,667.00 ,0.31 ,2,0.01 
3305,昇貿,988.00 ,850.00 ,590.00 ,484.00 ,0.23 ,0,0.00 
3308,聯德,1116.00 ,930.00 ,639.00 ,643.00 ,0.66 ,0,0.00 
3311,閎暉,724.00 ,585.00 ,613.00 ,436.00 ,0.33 ,2,0.00 
3312,弘憶股,1575.00 ,1385.00 ,969.00 ,872.00 ,0.18 ,0,0.00 
3321,同泰,654.00 ,548.00 ,535.00 ,479.00 ,0.31 ,16,0.03 
3338,泰碩,1202.00 ,1027.00 ,866.00 ,783.00 ,0.02 ,0,0.00 
3346,麗清,1380.00 ,1194.00 ,982.00 ,702.00 ,0.05 ,0,0.00 
3356,奇偶,1192.00 ,1032.00 ,947.00 ,848.00 ,0.26 ,0,0.00 
