id,name,d_seats,id_seats,fe_d_seats,fe_d_ratio,da_rate,dfe_ratio
4581,光隆精密-KY,9.00 ,3.00 ,2.00 ,0.22,1,1
4583,台灣精銳,7.00 ,3.00 ,1.00 ,0.14,0.96,1
4720,德淵,11.00 ,4.00 ,1.00 ,0.09,0.95,1
4722,國精化,9.00 ,3.00 ,1.00 ,0.11,1,0.33
4736,泰博,7.00 ,4.00 ,0.00 ,0,1,1
4737,華廣,9.00 ,3.00 ,3.00 ,0.33,1,0.67
4739,康普,9.00 ,3.00 ,0.00 ,0,0.98,1
4746,台耀,7.00 ,2.00 ,2.00 ,0.29,0.96,1
4755,三福化,9.00 ,3.00 ,0.00 ,0,0.97,1
4763,材料-KY,7.00 ,3.00 ,0.00 ,0,0.98,1
4764,雙鍵,7.00 ,3.00 ,2.00 ,0.29,1,1
4766,南寶,7.00 ,3.00 ,0.00 ,0,1,1
4770,上品,9.00 ,3.00 ,1.00 ,0.11,1,1
4807,日成-KY,7.00 ,3.00 ,1.00 ,0.14,0.98,1
4904,遠傳,11.00 ,3.00 ,1.00 ,0.09,0.98,1
4906,正文,9.00 ,3.00 ,1.00 ,0.11,0.98,1
4912,聯德控股-KY,9.00 ,5.00 ,0.00 ,0,0.93,1
4915,致伸,8.00 ,4.00 ,1.00 ,0.13,1,1
4916,事欣科,7.00 ,3.00 ,3.00 ,0.43,0.93,1
4919,新唐,11.00 ,4.00 ,1.00 ,0.09,0.95,0.91
4927,泰鼎-KY,11.00 ,4.00 ,1.00 ,0.09,1,1
4930,燦星網,5.00 ,3.00 ,1.00 ,0.2,1,1
4934,太極,7.00 ,3.00 ,2.00 ,0.29,0.94,1
4935,茂林-KY,7.00 ,3.00 ,1.00 ,0.14,1,1
4938,和碩,12.00 ,3.00 ,1.00 ,0.08,1,1
4942,嘉彰,9.00 ,4.00 ,0.00 ,0,1,1
4943,康控-KY,7.00 ,3.00 ,0.00 ,0,1,1
4952,凌通,7.00 ,3.00 ,1.00 ,0.14,1,1
4956,光鋐,9.00 ,3.00 ,0.00 ,0,0.94,0.67
4958,臻鼎-KY,7.00 ,3.00 ,0.00 ,0,1,1
4960,誠美材,8.00 ,3.00 ,0.00 ,0,0.88,1
4961,天鈺,7.00 ,3.00 ,2.00 ,0.29,0.94,1
4967,十銓,7.00 ,3.00 ,2.00 ,0.29,1,1
4968,立積,9.00 ,4.00 ,1.00 ,0.11,0.98,1
4976,佳凌,9.00 ,3.00 ,1.00 ,0.11,0.98,0.78
4977,眾達-KY,7.00 ,3.00 ,0.00 ,0,1,1
4989,榮科,7.00 ,3.00 ,2.00 ,0.29,0.96,1
4994,傳奇,7.00 ,4.00 ,1.00 ,0.14,0.98,1
4999,鑫禾,9.00 ,4.00 ,1.00 ,0.11,0.98,1
5007,三星,9.00 ,3.00 ,1.00 ,0.11,0.98,0.89
5203,訊連,7.00 ,3.00 ,1.00 ,0.14,1,1
5215,科嘉-KY,9.00 ,3.00 ,0.00 ,0,0.98,1
5222,全訊,10.00 ,4.00 ,1.00 ,0.1,0.98,1
