代號,free_speech,staff_train,occupation_health,consumer_neg,consumer_pos,supplier_esg,risk_management ,nocorrupt
2537,1,1,0,0,0,0,0,0
2538,0,0,0,0,0,0,0,0
2539,0,1,1,0,0,0,0,0
2540,0,1,1,0,0,0,0,0
2542,0,1,1,0,0,0,0,0
2543,0,1,1,0,0,0,0,0
2545,1,1,1,0,0,0,1,0
2546,1,1,0,0,0,0,0,0
2547,0,1,1,0,0,0,0,0
2548,0,1,1,0,0,0,0,0
2597,0,1,1,0,0,0,0,0
2601,0,1,1,0,0,0,1,0
2603,0,0,1,0,0,0,0,0
2605,1,1,1,0,0,0,0,0
2606,1,1,1,0,0,0,0,0
2607,1,1,1,0,0,0,1,0
2608,0,1,0,0,0,0,0,0
2609,0,1,1,0,0,0,0,0
2610,0,1,0,0,0,0,0,0
2611,1,1,1,0,0,0,0,0
2612,0,1,0,0,0,0,0,0
2613,0,0,0,0,0,0,0,0
2614,1,1,1,0,0,1,0,0
2615,0,1,0,0,0,0,0,0
2616,0,0,1,0,0,0,0,0
2617,1,1,1,0,0,0,1,0
2618,0,1,1,0,0,0,0,0
2630,1,1,1,0,0,1,0,0
2633,1,1,1,0,0,0,0,0
2634,0,1,1,0,0,0,0,0
2636,0,1,0,0,0,0,0,0
2637,0,1,1,0,0,0,0,0
2642,0,1,0,0,0,0,0,0
2701,0,1,0,0,0,0,0,0
2702,1,1,1,0,0,0,0,0
2704,0,1,1,0,0,0,0,0
2705,0,1,0,0,0,0,0,0
2706,0,0,1,0,0,0,0,0
2707,0,1,1,0,0,0,0,1
2712,0,1,1,0,0,0,0,0
2722,0,1,1,0,0,0,0,0
2723,0,1,1,0,0,0,0,0
2727,0,1,1,0,0,0,0,0
2731,1,1,0,0,0,0,0,0
2739,0,1,1,0,0,0,0,0
2748,1,1,1,0,0,0,0,0
2753,0,1,1,0,0,1,0,1
2801,0,1,0,0,0,0,0,0
2809,1,1,1,0,0,1,1,0
2812,1,1,1,0,0,0,0,0
2816,1,1,1,0,0,0,0,0
2820,1,1,1,0,0,0,1,0
2832,0,1,1,0,0,0,0,0
2834,0,1,1,0,0,0,0,0
2836,1,1,1,0,0,0,0,0
2838,1,1,1,0,0,0,0,0
2845,0,1,0,0,0,0,0,0
2849,1,1,1,0,0,1,1,0
2850,0,1,1,0,0,0,0,0
2851,1,1,1,0,0,1,0,0
2852,1,1,1,0,0,1,0,0
2867,1,1,1,0,0,0,0,0
2880,1,1,1,0,0,0,0,0
2881,0,1,1,0,0,0,0,0
2882,0,1,0,1,0,1,0,0
2883,1,1,0,0,0,0,0,0
2884,1,1,0,0,0,0,0,0
2885,1,1,0,0,0,0,0,0
2886,0,1,1,0,0,0,0,0
2887,0,1,1,0,0,1,0,0
2888,0,1,1,0,0,0,0,0
2889,0,1,0,0,0,0,0,0
2890,1,1,0,0,0,1,0,0
2891,0,1,1,0,0,0,0,0
2892,1,1,0,0,0,0,0,0
2897,0,1,1,0,0,0,0,0
2901,1,1,1,0,0,0,0,0
2903,1,1,1,0,0,1,0,0
2904,0,1,1,0,0,0,1,0
2905,0,1,1,0,0,0,0,0
2906,1,1,1,0,0,1,0,0
2908,0,1,0,0,0,0,0,0
2910,0,1,0,1,0,1,0,0
2911,1,1,1,0,0,0,0,0
2912,0,1,1,0,0,1,0,0
2913,0,1,0,0,0,0,0,0
2915,1,1,1,0,0,0,0,0
2923,0,1,0,0,0,0,0,0
2939,1,1,1,0,0,1,0,0
2945,0,1,0,0,0,0,0,0
3002,0,1,1,0,0,0,0,0
3003,1,1,1,1,0,1,0,0
3004,0,1,1,0,0,1,0,0
3005,0,1,1,0,0,0,0,0
3006,0,1,0,0,0,0,0,0
3008,0,1,1,0,0,0,0,0
3010,1,1,1,0,0,0,0,0
3011,1,1,1,0,0,0,0,0
3013,1,1,1,0,0,0,0,0
3014,1,1,1,0,0,0,0,0
3015,0,0,0,0,0,1,1,1
3016,0,1,1,0,0,0,0,0
3017,1,1,1,0,0,0,1,0
3018,0,1,0,0,0,0,0,0
3019,0,1,1,1,0,1,0,0
3021,1,1,1,0,0,0,0,1
3022,1,1,0,0,0,0,0,0
3023,1,1,1,0,0,0,0,0
3024,0,1,0,0,0,0,0,0
3025,1,1,1,0,0,0,0,0
3026,1,1,0,0,0,0,0,0
3027,1,1,1,0,0,0,0,0
3028,1,1,1,0,0,0,0,0
3029,0,1,1,1,0,1,0,0
3030,1,1,1,0,0,0,0,0
3031,0,1,0,0,0,0,0,0
3032,1,1,0,0,0,1,0,0
3033,1,1,1,0,0,0,1,1
3034,1,1,0,0,0,0,0,0
3035,1,1,1,0,0,0,0,0
3036,0,1,0,0,0,0,0,0
3037,1,1,1,0,0,1,0,0
3038,0,1,0,0,0,0,0,0
3040,0,1,1,0,0,0,0,0
3041,1,1,1,0,0,0,0,0
3042,1,1,0,0,0,0,0,0
3043,0,1,0,0,0,0,0,0
3044,0,1,1,0,0,0,0,0
3045,0,1,1,0,0,1,0,0
3046,1,1,0,0,0,0,0,0
3047,1,1,1,0,0,0,0,0
3048,0,1,1,0,0,1,0,0
3049,1,1,0,0,0,1,0,0
3050,0,1,1,0,0,0,0,0
3051,1,1,1,0,0,0,0,0
3052,1,1,1,0,0,0,0,0
3054,0,1,0,0,0,0,0,0
3055,1,1,0,1,0,1,0,0
3056,0,1,1,1,0,1,0,0
3057,0,1,0,0,0,0,0,0
3058,0,1,0,0,0,0,0,0
3059,0,1,0,0,0,0,0,0
3060,0,1,0,0,0,0,0,0
3062,1,1,1,0,0,1,0,0
3090,1,1,1,0,0,1,0,0
3092,0,1,0,0,0,0,0,0
3094,0,1,1,0,0,0,0,0
3130,0,1,1,0,0,0,0,0
3138,0,1,0,0,0,0,0,0
3149,1,1,1,0,0,1,0,0
3164,1,1,1,0,0,1,0,0
3167,0,1,1,0,0,0,0,0
3189,0,1,0,0,0,0,0,0
3209,1,1,1,0,0,0,0,0
3229,1,1,0,0,0,0,0,0
3231,1,1,0,0,0,0,0,0
3257,1,1,1,0,0,0,0,0
3266,1,1,1,0,0,1,0,0
3296,1,1,1,0,0,1,0,0
3305,1,1,0,0,0,0,0,0
3308,1,1,1,0,0,0,0,0
3311,0,1,1,0,0,0,0,0
3312,0,1,1,0,0,0,0,0
3321,1,0,1,0,0,0,0,0
3338,0,1,0,0,0,0,0,0
3346,0,1,0,0,0,0,0,0
3356,0,1,0,0,0,1,0,0
3376,0,1,0,0,0,1,0,0
3380,1,1,1,0,0,0,0,0
3406,1,1,1,0,0,0,0,0
3413,0,1,1,0,0,1,0,0
3416,1,1,1,0,0,0,0,0
3419,0,1,1,0,0,0,0,0
3432,0,1,0,0,0,0,0,0
3437,1,1,0,0,0,0,0,0
3443,0,1,0,0,0,0,0,0
3450,1,0,0,0,0,0,0,0
3454,1,1,1,1,0,1,0,0
3481,0,1,1,0,0,0,0,0
3494,0,1,1,0,0,0,0,0
3501,0,1,1,0,0,0,0,0
3504,0,1,0,0,0,0,0,0
3515,0,1,1,0,0,0,0,0
3518,1,1,1,0,0,0,0,0
3528,1,1,1,1,0,1,0,0
3530,1,0,0,0,0,0,0,0
3532,1,0,0,0,0,0,0,0
3533,0,1,0,0,0,0,0,0
3535,1,1,1,0,0,0,0,0
3543,1,1,1,0,0,0,0,0
3545,1,1,1,0,0,1,1,0
3550,1,1,0,0,0,0,0,0
3557,0,1,1,0,0,0,0,0
3563,0,1,1,0,0,0,0,0
3576,0,1,1,0,0,0,0,0
3583,1,1,0,1,0,1,0,0
3588,1,0,1,0,0,0,0,0
3591,1,1,1,0,0,1,0,0
3592,1,1,1,0,0,0,1,0
3593,1,1,1,0,0,1,0,0
3596,0,1,0,0,0,0,0,0
3605,1,1,1,0,0,1,0,0
3607,0,1,1,0,0,0,0,0
3617,1,1,1,0,0,1,0,0
3622,1,1,0,0,0,0,0,0
3645,1,1,1,0,0,1,0,0
3652,1,1,1,0,0,1,0,0
3653,1,1,0,0,0,0,0,0
3661,1,1,1,0,0,0,0,0
3665,0,1,0,0,0,0,0,0
3669,1,1,0,0,0,0,0,0
3673,0,1,0,0,0,0,0,0
3679,0,1,0,0,0,0,0,0
3682,1,1,0,0,0,0,0,0
3686,0,1,1,0,0,0,0,0
3694,1,1,0,0,0,0,0,0
3701,1,1,0,0,0,0,0,0
3702,0,1,0,0,0,1,0,0
3703,1,1,1,0,0,0,0,0
3704,0,1,0,0,0,0,0,0
3705,0,1,1,0,0,0,0,0
3706,0,1,1,0,0,1,0,1
3708,1,1,1,0,0,1,0,0
3711,0,0,0,0,0,0,0,0
3712,1,1,1,0,0,0,0,0
3714,0,1,0,0,0,0,0,0
3990,0,1,1,0,0,0,0,0
4104,1,1,0,0,0,1,0,0
4106,1,1,0,0,0,0,0,0
4108,1,1,1,0,0,0,0,0
4119,1,1,0,0,0,0,1,0
4133,1,1,1,0,0,0,0,0
4137,1,1,1,0,0,0,0,0
4142,0,1,0,0,0,0,0,0
4148,0,1,1,0,0,0,0,0
4155,0,1,0,0,0,0,0,0
4164,1,1,1,0,0,0,0,0
4306,1,1,1,0,0,0,0,0
4414,0,1,1,0,0,1,0,0
4426,1,1,1,0,0,1,0,0
4438,1,0,1,0,0,0,0,0
4440,1,1,1,0,0,1,0,0
4526,0,1,1,0,0,0,0,0
4532,0,0,0,0,0,0,0,0
4536,0,1,1,0,0,0,0,0
4540,1,1,0,0,0,0,0,0
4545,0,1,0,0,0,0,0,0
4551,1,1,1,0,0,1,0,0
4555,0,1,1,0,0,0,0,0
4560,1,1,0,0,0,0,0,0
4562,1,1,1,0,0,0,0,0
4564,0,1,0,0,0,0,0,0
4566,1,1,0,0,0,0,0,0
4572,1,1,0,0,0,0,0,0
4576,1,1,1,0,0,0,0,0
4581,1,1,1,0,0,0,0,0
