代號,free_speech,staff_train,occupation_health,consumer_neg,consumer_pos,supplier_esg,social,risk_management,nocorrupt,conservation
2031,0,0,0,0,0,0,0,0,0,0
2032,1,1,1,0,0,1,0,0,0,0
2033,1,1,0,0,0,1,0,0,0,0
2034,1,1,0,0,0,0,0,0,0,0
2038,1,1,1,0,0,1,0,0,0,0
2049,0,1,1,0,0,1,0,0,0,0
2059,0,1,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0,0,1
2069,1,1,1,0,0,0,0,0,0,0
2101,1,1,0,0,0,0,0,0,0,0
2102,0,0,0,0,0,0,0,0,0,0
2103,0,1,0,0,0,0,0,0,0,0
2104,0,1,0,0,0,0,0,0,0,0
2105,0,1,0,0,0,1,0,0,0,0
2106,0,1,1,0,0,0,0,0,0,0
2107,1,1,0,0,0,1,0,0,0,1
2108,1,1,1,0,0,0,0,0,0,0
2109,0,1,0,0,0,0,1,0,0,1
2114,0,1,0,0,0,0,0,0,0,0
2115,1,1,0,0,0,0,0,0,0,0
2201,1,1,1,0,0,0,1,0,0,0
2204,1,1,0,0,0,0,0,0,0,0
2206,0,1,1,0,0,0,0,1,1,0
2207,0,1,0,0,0,1,0,0,0,0
2208,0,1,0,0,0,0,0,0,0,0
2211,1,1,0,0,0,0,0,0,0,0
2227,1,1,1,1,0,1,0,0,0,0
2228,1,1,1,0,0,0,0,1,0,0
2231,0,1,0,0,0,0,0,0,0,0
2233,1,1,0,0,0,0,1,0,0,0
2239,0,1,0,0,0,0,0,0,0,0
2241,0,1,0,0,0,1,0,0,0,0
2247,1,1,0,0,0,0,0,1,1,0
2250,0,1,0,1,0,1,0,0,0,0
2301,1,1,0,0,0,1,0,0,1,1
2303,1,1,0,0,0,1,1,0,0,0
2305,1,1,0,0,0,0,0,0,0,0
2308,0,1,0,0,0,0,0,0,0,0
2312,0,1,1,0,0,0,0,0,0,0
2313,1,1,1,0,0,0,0,0,1,0
2314,0,1,0,0,0,0,0,0,0,0
2316,0,1,0,0,0,0,0,0,0,0
2317,1,1,1,0,0,1,1,0,0,0
2321,0,1,0,1,0,1,0,0,0,0
2323,0,1,0,0,0,0,0,0,0,0
2324,1,1,1,0,0,1,0,0,0,0
2327,0,0,0,0,0,0,0,0,0,0
2328,0,1,1,0,0,1,0,0,0,0
2329,0,1,0,0,0,1,1,0,0,0
2330,1,1,0,0,0,0,1,0,0,0
2331,0,1,0,0,0,0,0,0,0,1
2332,0,1,1,0,0,1,1,0,0,0
