id,name,scope1_ton_CO2e,scope1_boundary,scope1_ISO,scope2_ton_CO2e,scope2_boundary,scope2_ISO,scope3_ton_CO2e,scope3_boundary,scope3_ISO,intensity_ton_CO2e,intensity_unit
3583,辛耘,811.42 ,新竹縣湖口鄉中華路16號,ISO 14064,9785.99 ,新竹縣湖口鄉中華路16號,ISO 14064,N/A,N/A,N,10597.41 ,35473520000 (辛耘母公司營收)
3588,通嘉,N/A,N/A,N,N/A,N/A,N,694.31 ,母公司,N,0.30 ,營業額
3591,艾笛森,1309.77 ,僅母公司,N,N/A,N/A,N,N/A,N/A,N,1.37 ,每百萬元營業額
3592,瑞鼎,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3593,力銘,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3596,智易,871.37 ,台灣總部及中國與越南生產中心,ISO 14064,30596.91 ,台灣總部及中國與越南生產中心,ISO 14064,N/A,N/A,N,0.00 ,產品
3605,宏致,129.75 ,母公司,ISO 14064,4214.95 ,母公司,ISO 14064,1266.65 ,母公司,ISO 14064,N/A,N/A
3607,谷崧,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3617,碩天,N/A,N/A,N,347.92 ,台北總部,N,N/A,N/A,N,N/A,N/A
3622,洋華,20.84 ,母公司,N,981.85 ,母公司,N,N/A,N/A,N,0.00 ,營業額
3645,達邁,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3652,精聯,N/A,N/A,N,370.00 ,僅母公司,N,N/A,N/A,N,0.21 ,佰萬營業額
3653,健策,455.91 ,母公司,N,21955.84 ,母公司,N,N/A,N/A,N,3.18 ,營業額(百萬)
3661,世芯-KY,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3665,貿聯-KY,3215.00 ,計範圍涵蓋集團 17 個生產據點：昆山貿聯廠、昆山翔光廠、常州廠、深圳通盈廠、翔耀廠、康聯廠、廈門新視廠、百事聯廠、佛山城鉞廠、新加坡加冷廠、馬來西亞柔佛廠、馬來西亞檳城廠、 塞爾維亞廠、斯洛伐克廠、加州廠、德州廠、墨西哥廠。,"GRI Standard, AA1000 ASv3",40207.83 ,統計範圍涵蓋集團 17 個生產據點：昆山貿聯廠、昆山翔光廠、常州廠、深圳通盈廠、翔耀廠、康聯廠、廈門新視廠、百事聯廠、佛山城鉞廠、新加坡加冷廠、馬來西亞柔佛廠、馬來西亞檳城廠、塞爾維亞廠、斯洛伐克廠、加州廠、德州廠、墨西哥廠。,"GRI Standard, AA1000 ASv3",N/A,N/A,N,1.12 ,營業額
3669,圓展,98.39 ,母公司,N,2303.78 ,母公司,N,N/A,N/A,N,0.00 ,仟元營業額
3673,TPK-KY,7262.71 ,涵蓋邊界：宸鴻科技（廈門）有限公司、鴻通科技（廈門）有限公司、宸美（廈門）光電有限公司、祥達光學（廈門）有限公司、寶宸（廈門）光學科技有限公司、宸鴻科技（平潭）有限公司,ISO 14064,347089.60 ,宸鴻科技（廈門）有限公司、鴻通科技（廈門）有限公司、宸美（廈門）光電有限公司、祥達光學（廈門）有限公司、寶宸（廈門）光學科技有限公司、宸鴻科技（平潭）有限公司,ISO 14064,38680.13 ,宸鴻科技（廈門）有限公司、鴻通科技（廈門）有限公司、宸美（廈門）光電有限公司、祥達光學（廈門）有限公司、寶宸（廈門）光學科技有限公司、宸鴻科技（平潭）有限公司,ISO 14064,0.00 ,千元營業額
3679,新至陞,8.06 ,合併財務報表之母子公司,深圳市標準化指導性技術文件SZDB/Z 69-2018&LT;組織的溫室氣體排放量化和報告指南>等,5903.46 ,合併財務報表之母子公司,深圳市標準化指導性技術文件SZDB/Z 69-2018&LT;組織的溫室氣體排放量化和報告指南>等,N/A,N/A,N,N/A,N/A
3686,達能,0.00 ,包含合併財務報表之母子公司。,N,384.00 ,包含合併財務報表之母子公司。,N,N/A,N/A,N,0.00 ,營業額
3694,海華,41.20 ,上海子公司廠區,N,13056.22 ,上海子公司廠區,N,N/A,N/A,N,0.06 ,產品
3701,大眾控,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3702,大聯大,819.25 ,盤查範圍包含台灣區及中國區主要營運據點辦公室及自有倉儲,ISO 14064,2772.12 ,盤查範圍包含台灣區及中國區主要營運據點辦公室及自有倉儲,ISO 14064,6392.79 ,盤查範圍包含台灣區及中國區主要營運據點辦公室及自有倉儲,ISO 14064,0.03 ,盤查據點面積(平方米)
3703,欣陸,352.35 ,母公司及主要營運子公司,N,30401.17 ,母公司及主要營運子公司,N,8560.96 ,營運中之淡水及鳳山水資源中心,N,1.15 ,百萬營業額
3704,合勤控,8.44 ,母公司,N,42.53 ,母公司,N,N/A,N/A,N,0.04 ,百萬營業額
3705,永信,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3706,神達,1698.00 ,"合併財務報表之母子公司, 含台灣營運、研發中心及廠區; 中國主要生產據點: 廣東順達廠區、江蘇昆達廠區; 美國加州組裝廠區: MiTACIS",N,40817.00 ,"合併財務報表之母子公司, 含台灣營運、研發中心及廠區; 中國主要生產據點: 廣東順達廠區、江蘇昆達廠區; 美國加州組裝廠區: MiTACIS",N,2112.00 ,"合併財務報表之母子公司, 含台灣營運、研發中心及廠區; 中國主要生產據點: 廣東順達廠區、江蘇昆達廠區; 美國加州組裝廠區: MiTACIS",N,1.01 ,營業額/單位為「百萬新台幣」
3708,上緯投控,811.43 ,上緯興業股份有限公司及上偉碳纖複合材料股份有限公司,N,1225.76 ,上緯興業股份有限公司及上偉碳纖複合材料股份有限公司,N,N/A,N/A,N,0.65 ,百萬營業額
3711,日月光投控,90590.89 ,日月光半導體製造股份有限公司(高雄廠、中壢廠、蘇州廠、 威海廠、無錫廠、日榮半導體(上海)、上海材料廠、 上海月芯半導體、昆山廠、日本廠、韓國廠、 新加坡廠、馬來西亞廠、ISE Labs)、矽品精密工業股份有限公司(大豐廠、中山廠、中科廠、新竹廠、彰化廠、蘇州廠)、環電股份有限公司(南投廠、張江廠、昆山廠、金橋廠、深圳廠、墨西哥廠),ISO 14064,1612049.46 ,日月光半導體製造股份有限公司(高雄廠、中壢廠、蘇州廠、 威海廠、無錫廠、日榮半導體(上海)、上海材料廠、 上海月芯半導體、昆山廠、日本廠、韓國廠、 新加坡廠、馬來西亞廠、ISE Labs)、矽品精密工業股份有限公司(大豐廠、中山廠、中科廠、新竹廠、彰化廠、蘇州廠)、環電股份有限公司(南投廠、張江廠、昆山廠、金橋廠、深圳廠、墨西哥廠),ISO 14064,16231394.35 ,日月光半導體製造股份有限公司(高雄廠、中壢廠、蘇州廠、 威海廠、無錫廠、日榮半導體(上海)、上海材料廠、 上海月芯半導體、昆山廠、日本廠、韓國廠、 新加坡廠、馬來西亞廠、ISE Labs)、矽品精密工業股份有限公司(大豐廠、中山廠、中科廠、新竹廠、彰化廠、蘇州廠)、環電股份有限公司(南投廠、張江廠、昆山廠、金橋廠、深圳廠、墨西哥廠),ISO 14064,0.08 ,噸CO2e/千美金營收
3712,永崴投控,43.47 ,母公司,ISO 14064,318.70 ,母公司,ISO 14064,0.00 ,母公司,ISO 14064,N/A,N/A
3714,富采,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4104,佳醫,N/A,N/A,N,374.87 ,僅母公司,N,N/A,N/A,N,0.00 ,仟元營業額
4106,雃博,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4108,懷特,N/A,N/A,N,1873.00 ,台北公司及楊梅精製廠,N,N/A,N/A,N,N/A,N/A
4119,旭富,9.50 ,僅母公司,N,1667.00 ,僅母公司,N,N/A,N/A,N,N/A,N/A
4133,亞諾法,N/A,N/A,N,N/A,N/A,N,941.93 ,"資料含蓋範圍僅母公司。
經營運邊界設定之排放源鑑別，本公司溫室氣體屬於其他間接排放：針對由公司其他活動所產生的間接排放。",N,N/A,N/A
4137,麗豐-KY,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4142,國光生,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4148,全宇生技-KY,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4155,訊映,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4164,承業醫,N/A,N/A,N,335.26 ,包含合併財務報表之母子公司,N,N/A,N/A,N,0.14 ,百萬營業額
4190,佐登-KY,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4306,炎洲,23019.98 ,台灣總部及各廠區,N,73084.61 ,台灣總部及各廠區,N,N/A,N/A,N,5.59 ,百萬營業額
4414,如興,1637.26 ,柬埔寨部分生產廠區，詳細請閱如興2021年永續報告書。,依行業標準,9103.95 ,柬埔寨部分生產廠區，詳細請閱如興2021年永續報告書。,依行業標準,N/A,N/A,N,N/A,N/A
4426,利勤,10854.00 ,僅母公司,N,3991.00 ,僅母公司,N,485.00 ,僅母公司,N,8.94 ,產品
4438,廣越,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4439,冠星-KY,44553.40 ,Top Sports Textile Limited,ISO 14064,14798.32 ,Top Sports Textile Limited,ISO 14064,164219.82 ,Top Sports Textile Limited,ISO 14064,3.47 ,產品
4440,宜新實業,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4526,東台,241.31 ,東台精機股份有限公司第一廠,N,3183.49 ,東台精機股份有限公司第一廠,N,N/A,N/A,N,0.33 ,產品
4532,瑞智,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4536,拓凱,N/A,N/A,N,1094.00 ,本公司,N,N/A,N/A,N,N/A,N/A
4540,全球傳動,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4545,銘鈺,1535.00 ,母公司,N,6397.00 ,母公司,N,N/A,N/A,N,6.93 ,百萬營業額
4551,智伸科,1107.46 ,包含合併財務報表之母子公司,RBA手冊,49462.18 ,包含合併財務報表之母子公司,RBA 手冊,N/A,N/A,N,0.00 ,產品
4552,力達-KY,10295.55 ,包含合併財務報表之母子公司,無,N/A,N/A,N,N/A,N/A,N,0.00 ,N/A
4555,氣立,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4557,永新-KY,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4560,強信-KY,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4562,穎漢,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4564,元翎,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4566,時碩工業,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4571,鈞興-KY,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
4572,駐龍,N/A,N/A,N,2032.00 ,母公司,N,N/A,N/A,N,5.03 ,百萬營業額
4576,大銀微系統,N/A,N/A,N,5064.00 ,母公司之總部及二廠(依台電用電收據統計),N,N/A,N/A,N,N/A,N/A
4581,光隆精密-KY,262.73 ,合併財務報表之母子公司,N,2514.12 ,合併財務報表之母子公司,N,N/A,N/A,N,0.00 ,營業額
4583,台灣精銳,36.35 ,母公司,N,10924.38 ,母公司,N,0.00 ,母公司,N,0.00 ,營業額
4720,德淵,679.86 ,排放量係以母公司計算；排放密集度單位係以合併財務報表百萬營業額計算。,N,2355.75 ,母公司,N,N/A,N/A,N,0.86 ,營業額
4722,國精化,11066.00 ,母公司,N,7170.00 ,母公司,N,28.00 ,母公司,N,N/A,N/A
4736,泰博,0.00 ,無。,N,2579.00 ,以年度總用電量試算,N,0.00 ,無。,N,0.00 ,營業額
4737,華廣,N/A,N/A,N,6239.40 ,母公司,N,N/A,N/A,N,6239.40 ,營業額
4739,康普,2710.00 ,康普材料新竹廠,ISO 14064,10067.27 ,康普材料新竹廠,ISO 14064,N/A,N/A,N,0.00 ,總排放量(公噸)/個體營收(千元)
4746,台耀,633.68 ,母公司,N,31949.43 ,母公司,N,133.44 ,母公司,N,10.32 ,噸CO2e/百萬營業額
4755,三福化,7201.00 ,僅母公司(善化廠、柳科廠、高雄廠),ISO 14064,19888.00 ,僅母公司(善化廠、柳科廠、高雄廠),ISO 14064,4742.00 ,僅母公司(善化廠、柳科廠、高雄廠),ISO 14064,0.01 ,營業額；單位：噸CO2e / 仟元
4763,材料-KY,22667.75 ,合併財務報表之母子公司,N,138343.43 ,合併財務報表之母子公司,N,N/A,N/A,N,0.06 ,營業額(仟元單位)
4764,雙鍵,22.63 ,母公司,N,2171.58 ,母公司,N,N/A,N/A,N,0.72 ,百萬營業額
4766,南寶,3793.00 ,僅母公司,N,8821.00 ,僅母公司,N,39956.00 ,僅母公司,N,2.35 ,百萬營收
4770,上品,119389.05 ,僅母公司,N,12061.49 ,僅母公司,N,N/A,N/A,N,51.06 ,百萬營業額
4807,日成-KY,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
